Artwork ID,Buyer ID,Match Score
1229,d152c33e-e2e2-41bd-8c5a-f2ab0f6c4951,0.500
1229,9ed565c2-1824-42c5-8cf6-f25908ae7a11,0.500
1229,b440be60-9dc3-4d8e-940b-928a07ccfe8c,0.444
1229,06ff2a99-9043-4278-9b60-832270cccfef,0.444
1229,c59ed520-f026-477d-bedb-4278da2753aa,0.444
2346,616efc1b-673e-4ad9-af31-d2519d0706a3,0.583
2346,40883fcc-bf94-443f-bd49-84369f34706b,0.567
2346,6bbb72e5-8f4a-46c7-ac47-4fa15a22e4e7,0.556
2346,3e7dd79d-8253-4166-a8dc-ab63e069fab7,0.556
2346,c2c7f4ba-90b6-4714-b191-5feebaf24777,0.528
2535,92eef7fd-b25c-445e-97d2-38d33498f3d8,0.511
2535,67a2efff-4427-4501-bf6b-997c28e839e8,0.511
2535,b981cab3-331b-4840-9ad5-162a6bc24f7f,0.489
2535,29ca3029-2737-4979-a0cc-5876e256650b,0.481
2535,4f4e75df-6d95-4dd2-b7dc-2de1c0863bc4,0.481
2989,5a768e36-a448-415a-82af-45f95364f169,0.542
2989,57ea9a51-bb98-4b1b-ab32-066a770d4b63,0.458
2989,55f69d4f-35ad-40f8-b98e-081f5885cfaa,0.458
2989,6da221de-b9ee-4145-967d-2b1b98c08ed8,0.458
2989,e5fb9b2a-9a5c-4c63-98cd-3bfe44e7c8b9,0.407
3527,4456aac2-edfc-42f5-9cbd-390290b75fc4,0.333
3527,6e14b782-05aa-4d58-92d0-645637db6f25,0.333
3527,2daaaabe-a837-46c1-b0b8-445e169d6d34,0.167
3527,53152e0c-2206-4a77-aae4-57cffbeec416,0.167
3527,499925e8-2866-44f7-a771-d1455ced0705,0.167
3908,4456aac2-edfc-42f5-9cbd-390290b75fc4,0.611
3908,4dc6eb1f-7d9b-472e-81a3-ff2e2e9c2469,0.611
3908,40883fcc-bf94-443f-bd49-84369f34706b,0.567
3908,3e7dd79d-8253-4166-a8dc-ab63e069fab7,0.556
3908,499925e8-2866-44f7-a771-d1455ced0705,0.500
7214,5a768e36-a448-415a-82af-45f95364f169,0.722
7214,55f69d4f-35ad-40f8-b98e-081f5885cfaa,0.556
7214,57ea9a51-bb98-4b1b-ab32-066a770d4b63,0.500
